"sample_number","observed_at_local","device_name","ip","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-17 18:38:44","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:38:43","81.3","73.0","66.0","2039","False",""
"1","2026-05-17 18:38:44","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:38:43","83.5","81.0","71.0",,"False",""
"2","2026-05-17 18:39:14","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:39:13","81.0","72.0","66.0","2047","False",""
"2","2026-05-17 18:39:14","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:39:13","83.3","81.0","70.0",,"False",""
"3","2026-05-17 18:39:44","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:39:43","81.5","73.0","63.0","2113","False",""
"3","2026-05-17 18:39:44","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:39:44","83.5","81.0","71.0",,"False",""
"4","2026-05-17 18:40:15","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:40:14","82.0","73.0","67.0","2032","False",""
"4","2026-05-17 18:40:15","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:40:14","82.4","81.0","71.0",,"False",""
"5","2026-05-17 18:40:45","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:40:44","81.9","73.0","63.0","2130","False",""
"5","2026-05-17 18:40:45","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:40:44","83.1","81.0","71.0",,"False",""
"6","2026-05-17 18:41:15","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:41:14","82.2","73.0","68.0","2005","False",""
"6","2026-05-17 18:41:15","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:41:14","83.3","81.0","71.0",,"False",""
"7","2026-05-17 18:41:45","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:41:44","81.3","73.0","63.0","2119","False",""
"7","2026-05-17 18:41:45","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:41:45","83.3","81.0","72.0",,"False",""
"8","2026-05-17 18:42:15","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:42:15","80.6","73.0","67.0","2030","False",""
"8","2026-05-17 18:42:16","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:42:15","82.6","81.0","71.0",,"False",""
"9","2026-05-17 18:42:46","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:42:45","81.3","73.0","65.0","2068","False",""
"9","2026-05-17 18:42:46","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:42:45","83.1","81.0","71.0",,"False",""
"10","2026-05-17 18:43:16","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:43:15","81.9","73.0","67.0","2026","False",""
"10","2026-05-17 18:43:16","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:43:15","83.5","81.0","71.0",,"False",""
"11","2026-05-17 18:43:46","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:43:45","81.5","73.0","63.0","2119","False",""
"11","2026-05-17 18:43:46","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:43:45","82.8","80.0","72.0",,"False",""
"12","2026-05-17 18:44:16","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:44:15","81.9","73.0","65.0","2082","False",""
"12","2026-05-17 18:44:16","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:44:16","82.8","80.0","71.0",,"False",""
