"sample_number","observed_at_local","device_name","ip","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-17 18:14:40","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:14:39","81.3","72.0","64.0","2111","False",""
"1","2026-05-17 18:14:40","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:14:39","83.7","79.0","67.0",,"False",""
"2","2026-05-17 18:15:10","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:15:09","81.0","71.0","64.0","2101","False",""
"2","2026-05-17 18:15:10","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:15:09","82.9","79.0","67.0",,"False",""
"3","2026-05-17 18:15:40","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:15:39","82.0","71.0","63.0","2118","False",""
"3","2026-05-17 18:15:40","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:15:39","83.5","79.0","68.0",,"False",""
"4","2026-05-17 18:16:10","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:16:09","81.7","72.0","64.0","2096","False",""
"4","2026-05-17 18:16:10","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:16:10","82.9","79.0","68.0",,"False",""
"5","2026-05-17 18:16:41","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:16:40","81.7","72.0","64.0","2095","False",""
"5","2026-05-17 18:16:41","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:16:40","82.8","79.0","64.0",,"False",""
"6","2026-05-17 18:17:11","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:17:10","81.5","72.0","64.0","2091","False",""
"6","2026-05-17 18:17:11","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:17:10","83.5","79.0","67.0",,"False",""
"7","2026-05-17 18:17:41","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:17:40","80.8","72.0","63.0","2114","False",""
"7","2026-05-17 18:17:41","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:17:40","83.7","80.0","67.0",,"False",""
"8","2026-05-17 18:18:11","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:18:10","81.3","72.0","64.0","2102","False",""
"8","2026-05-17 18:18:11","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:18:10","82.9","80.0","68.0",,"False",""
"9","2026-05-17 18:18:41","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:18:41","81.1","72.0","64.0","2098","False",""
"9","2026-05-17 18:18:41","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:18:41","83.5","80.0","68.0",,"False",""
"10","2026-05-17 18:19:12","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:19:11","82.2","72.0","64.0","2095","False",""
"10","2026-05-17 18:19:12","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:19:11","82.9","79.0","68.0",,"False",""
"11","2026-05-17 18:19:42","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:19:41","81.9","72.0","64.0","2100","False",""
"11","2026-05-17 18:19:42","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:19:41","82.4","80.0","68.0",,"False",""
"12","2026-05-17 18:20:12","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:20:11","81.5","72.0","64.0","2096","False",""
"12","2026-05-17 18:20:12","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:20:11","84.0","80.0","68.0",,"False",""
