"sample_number","observed_at_local","device_name","ip","device_id","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","note","error"
"1","2026-05-19 00:27:42","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:27:41","77.7","31.0","52.0","2384","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"2","2026-05-19 00:32:42","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:32:41","77.4","31.0","53.0","2359","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"3","2026-05-19 00:37:42","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:37:41","77.4","31.0","54.0","2336","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"4","2026-05-19 00:42:42","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:42:41","76.3","31.0","55.0","2321","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"5","2026-05-19 00:47:42","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:47:41","76.3","32.0","55.0","2319","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"6","2026-05-19 00:52:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:52:41","77.9","32.0","54.0","2348","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"7","2026-05-19 00:57:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 00:57:42","76.5","32.0","54.0","2353","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"8","2026-05-19 01:02:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:02:42","76.1","33.0","53.0","2375","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"9","2026-05-19 01:07:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:07:42","77.2","32.0","55.0","2321","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"10","2026-05-19 01:12:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:12:42","78.1","32.0","54.0","2339","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"11","2026-05-19 01:17:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:17:42","75.6","33.0","55.0","2320","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"12","2026-05-19 01:22:43","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:22:42","76.3","33.0","54.0","2353","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"13","2026-05-19 01:27:44","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:27:42","78.3","33.0","55.0","2327","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"14","2026-05-19 01:32:45","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 01:32:43","77.0","33.0","53.0","2369","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"15","2026-05-19 13:30:22","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:30:20","80.4","37.0","52.0","2404","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"16","2026-05-19 13:35:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:35:20","79.9","37.0","52.0","2382","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"17","2026-05-19 13:40:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:40:21","77.9","37.0","54.0","2352","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"18","2026-05-19 13:45:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:45:21","79.3","37.0","53.0","2367","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"19","2026-05-19 13:50:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:50:21","80.2","37.0","51.0","2411","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"20","2026-05-19 13:55:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 13:55:21","79.2","37.0","53.0","2361","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
"21","2026-05-19 14:00:23","bench-prototype","10.0.0.192","318fab98-89ad-4f36-9100-3134a04e0be5","DHT03","SM03","2026-05-19 14:00:21","80.4","37.0","51.0","2407","False","DHT03 post-overheat overnight stability; DHT03 remains suspect",""
