"sample_number","observed_at_local","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-19 00:11:19","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:11:18","78.3","31.0","53.0","2379","False",""
"2","2026-05-19 00:11:49","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:11:48","78.4","31.0","53.0","2371","False",""
"3","2026-05-19 00:12:19","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:12:18","77.4","32.0","53.0","2369","False",""
"4","2026-05-19 00:12:49","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:12:48","77.5","32.0","53.0","2370","False",""
"5","2026-05-19 00:13:19","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:13:18","79.5","40.0","53.0","2377","False",""
"6","2026-05-19 00:13:49","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:13:48","79.5","31.0","53.0","2359","False",""
"7","2026-05-19 00:14:19","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:14:18","79.0","30.0","52.0","2385","False",""
"8","2026-05-19 00:14:49","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:14:48","80.2","30.0","53.0","2365","False",""
"9","2026-05-19 00:15:20","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:15:19","78.4","30.0","54.0","2343","False",""
"10","2026-05-19 00:15:50","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:15:49","77.7","31.0","53.0","2362","False",""
"11","2026-05-19 00:16:20","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:16:19","78.3","31.0","54.0","2355","False",""
"12","2026-05-19 00:16:50","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:16:49","78.3","31.0","53.0","2362","False",""
"13","2026-05-19 00:17:20","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:17:19","78.6","31.0","54.0","2347","False",""
"14","2026-05-19 00:17:50","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:17:49","76.3","32.0","53.0","2373","False",""
"15","2026-05-19 00:18:20","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:18:19","75.4","32.0","53.0","2363","False",""
"16","2026-05-19 00:18:50","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:18:49","76.5","32.0","53.0","2368","False",""
"17","2026-05-19 00:19:20","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:19:19","75.9","32.0","55.0","2327","False",""
"18","2026-05-19 00:19:51","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:19:50","76.6","32.0","54.0","2349","False",""
"19","2026-05-19 00:20:21","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:20:20","75.6","32.0","53.0","2359","False",""
"20","2026-05-19 00:20:51","318fab98-89ad-4f36-9100-3134a04e0be5","2026-05-19 00:20:50","76.8","32.0","53.0","2363","False",""
