"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"1","2026-05-20 21:02:38","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:02:37","78.8","88.0","73.0","1875","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"1","2026-05-20 21:02:38","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:02:37","78.4","76.0","68.0","2001","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"2","2026-05-20 21:03:38","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:03:37","78.8","88.0","73.0","1879","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"2","2026-05-20 21:03:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:03:37","77.9","76.0","69.0","1984","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"3","2026-05-20 21:04:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:04:38","78.8","88.0","73.0","1873","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"3","2026-05-20 21:04:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:04:38","77.7","76.0","69.0","1981","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"4","2026-05-20 21:05:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:05:38","78.6","88.0","73.0","1879","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"4","2026-05-20 21:05:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:05:38","77.7","77.0","69.0","1985","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"5","2026-05-20 21:06:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:06:38","77.4","88.0","73.0","1872","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"5","2026-05-20 21:06:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:06:38","77.9","77.0","69.0","1971","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
