"round_number","round_label","sample_number","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"1","as_found_after_swapped_watering_test","1","2026-05-20 20:02:35","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:02:34","78.8","81.0","77.0","1777","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","1","2026-05-20 20:02:36","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:02:34","79.3","70.0","74.0","1849","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","2","2026-05-20 20:03:06","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:03:04","79.2","81.0","77.0","1771","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","2","2026-05-20 20:03:06","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:03:05","79.2","71.0","76.0","1813","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","3","2026-05-20 20:03:36","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:03:35","80.1","81.0","77.0","1776","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","3","2026-05-20 20:03:36","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:03:35","80.4","71.0","74.0","1850","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","4","2026-05-20 20:04:06","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:04:05","80.4","81.0","77.0","1779","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","4","2026-05-20 20:04:06","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:04:05","78.8","71.0","75.0","1839","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","5","2026-05-20 20:04:37","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:04:35","78.8","81.0","77.0","1774","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","5","2026-05-20 20:04:37","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:04:35","79.0","71.0","74.0","1843","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","6","2026-05-20 20:05:07","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:05:05","79.0","81.0","77.0","1773","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","6","2026-05-20 20:05:07","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:05:06","77.5","71.0","74.0","1845","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","7","2026-05-20 20:05:37","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:05:36","79.0","81.0","77.0","1776","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","7","2026-05-20 20:05:37","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:05:36","78.3","71.0","74.0","1849","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","8","2026-05-20 20:06:08","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:06:06","78.8","81.0","77.0","1775","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","8","2026-05-20 20:06:08","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:06:06","78.1","71.0","74.0","1860","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","9","2026-05-20 20:06:38","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:06:36","78.8","81.0","77.0","1772","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","9","2026-05-20 20:06:38","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:06:37","77.0","71.0","74.0","1848","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","10","2026-05-20 20:07:08","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:07:07","80.2","81.0","77.0","1773","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
"1","as_found_after_swapped_watering_test","10","2026-05-20 20:07:08","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-A original installed-balcony-unit sensor position","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 20:07:07","77.5","71.0","75.0","1837","False","N/A","0","No watering; testing whether remove/reinsert changes readings at same target positions",""
"2","after_reinsert_same_target_positions","1","2026-05-20 20:14:56","phase6k1_b3e1_reinsertion_repeatability_no_watering","no_watering_reinsertion_repeatability","B3","B3E1","B3E1-A/B3E1-B swapped-location crossover positions","B3E1-B original scout01 sensor position","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 20:14:54","80.2","83.0","69.0","1968","False","2026-05-20 16:01:50","40","No watering; testing whether remove/reinsert changes readings at same target positions",""
