"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","script_start","planned_water_start","planned_water_end","planned_water_duration_s","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","holdall_moisture_note","error"
"1","2026-05-20 15:59:43","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 15:59:41","86.2","62.0","72.0","1893","False","2026-05-19 20:38:41","40","","",""
"1","2026-05-20 15:59:43","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 15:59:42","84.2","57.0","61.0","2173","False","N/A","0","","",""
"2","2026-05-20 15:59:58","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 15:59:57","86.5","62.0","73.0","1879","False","2026-05-19 20:38:41","40","","",""
"2","2026-05-20 15:59:58","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 15:59:57","85.5","58.0","60.0","2210","False","N/A","0","","",""
"3","2026-05-20 16:00:12","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 16:00:11","87.3","62.0","73.0","1868","False","2026-05-19 20:38:41","40","","",""
"3","2026-05-20 16:00:12","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 16:00:11","85.5","58.0","61.0","2185","False","N/A","0","","",""
"4","2026-05-20 16:00:27","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 16:00:26","84.6","62.0","73.0","1885","False","2026-05-19 20:38:41","40","","",""
"4","2026-05-20 16:00:28","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 16:00:26","84.7","58.0","61.0","2183","False","N/A","0","","",""
"5","2026-05-20 16:00:43","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 16:00:42","84.2","62.0","73.0","1889","False","2026-05-19 20:38:41","40","","",""
"5","2026-05-20 16:00:43","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 16:00:42","84.7","58.0","60.0","2195","False","N/A","0","","",""
"6","2026-05-20 16:00:58","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 16:00:57","85.1","63.0","73.0","1884","False","2026-05-19 20:38:41","40","","",""
"6","2026-05-20 16:00:58","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-A original installed-balcony-unit sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 16:00:57","84.4","58.0","61.0","2177","False","N/A","0","","",""
"7","2026-05-20 16:01:12","phase6k1_b3e1_swapped_locations_40s_watering_response","pre_watering","B3","B3E1","B3E1 sensor-location crossover after SM01/SM02 swap","B3E1-B original scout01 sensor position","2026-05-20 15:59:42","2026-05-20 16:01:42","2026-05-20 16:02:22","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 16:01:11","85.6","62.0","73.0","1869","False","2026-05-19 20:38:41","40","","",""
