"sample_cycle","observed_at_local","condition_label","placement_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"1","2026-05-19 17:11:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:11:05","84.4","66.0","73.0","1890","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"1","2026-05-19 17:11:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:11:04","84.2","61.0","75.0","1834","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"2","2026-05-19 17:13:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:13:05","84.2","67.0","73.0","1885","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"2","2026-05-19 17:13:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:13:04","84.0","63.0","75.0","1842","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"3","2026-05-19 17:15:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:15:05","84.6","68.0","72.0","1903","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"3","2026-05-19 17:15:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:15:05","83.3","63.0","75.0","1835","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"4","2026-05-19 17:17:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:17:05","85.6","68.0","73.0","1889","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"4","2026-05-19 17:17:07","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:17:05","83.3","63.0","75.0","1840","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"5","2026-05-19 17:19:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:19:05","85.6","68.0","73.0","1885","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"5","2026-05-19 17:19:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:19:05","83.1","63.0","75.0","1824","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"6","2026-05-19 17:21:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:21:06","85.6","68.0","73.0","1891","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"6","2026-05-19 17:21:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:21:06","84.0","63.0","74.0","1843","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"7","2026-05-19 17:23:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:23:06","84.4","68.0","72.0","1896","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
